	Rk	Player	Nation	Pos	Squad	Age	Gls	Ast	Sh	SoT	Cmp	TotDist	Touches	Crs	Tkl	Blocks	Int	Clr	X	Y	dist
0	295	Toni Kroos	de GER	MF	Real Madrid	31	1	3	46	12	2068.0	38606.0	2386.0	86	34.0	16.0	12	13.0	30595.103128711908	387.6897614317001	0.0
1	302	Robin Le Normand	fr FRA	DF	Real Sociedad	24	1	1	18	5	1897.0	36808.0	2484.0	1	49.0	34.0	48	125.0	28802.241038399454	227.74872458357552	1799.982113841022
2	13	Jordi Alba	es ESP	DF	Barcelona	32	2	10	31	6	2334.0	36392.0	3031.0	121	47.0	26.0	33	41.0	28448.077184145463	-492.7746535058882	2320.546916701497
3	100	Diego Carlos	br BRA	DF	Sevilla	28	3	0	30	10	1916.0	41010.0	2488.0	3	35.0	48.0	24	120.0	32989.74988326696	571.7564607058549	2401.710563095129
4	294	Jules Koundé	fr FRA	DF	Sevilla	22	2	1	13	3	1894.0	34950.0	2438.0	18	40.0	33.0	21	101.0	26947.734097012726	112.72424873325552	3657.7188091174726
5	370	Éder Militão	br BRA	DF	Real Madrid	23	1	2	33	8	1801.0	34764.0	2371.0	11	50.0	42.0	52	107.0	26753.112338010094	194.93411710899852	3846.8231015028236
6	82	Sergio Busquets	es ESP	MF	Barcelona	33	2	0	14	4	2430.0	42404.0	3086.0	3	93.0	44.0	45	31.0	34446.21954936471	-65.3139825128432	3877.6681236858594
7	568	Pau Torres	es ESP	DF	Villarreal	24	5	1	24	9	1700.0	33767.0	2259.0	5	32.0	32.0	19	105.0	25746.81255849127	256.5506969122523	4850.063804480657
8	433	Daniel Parejo	es ESP	MF	Villarreal	32	2	10	15	5	1799.0	33329.0	2353.0	143	43.0	32.0	29	19.0	25322.03074084714	81.31802438954688	5281.965169226322
9	108	Catena	es ESP	DF	Rayo Vallecano	26	2	2	23	6	1393.0	32147.0	2047.0	2	39.0	26.0	30	168.0	24102.6839387549	439.66697884289914	6492.627247058914
10	65	Fran Beltrán	es ESP	MF	Celta Vigo	22	1	0	20	4	1716.0	31485.0	2177.0	17	56.0	29.0	32	39.0	23468.312064551403	128.18390277825117	7131.514156395785
